index,x,y,z,x_u16,y_u16,z_u16
149,-9000,0,-6144,56536,0,59392
150,-9000,0,-6400,56536,0,59136
151,-8960,0,-6400,56576,0,59136
152,-9880,0,-6144,55656,0,59392
153,-9920,0,-6144,55616,0,59392
154,-9000,0,-7168,56536,0,58368
155,-8960,0,-7168,56576,0,58368
156,-8864,67,-6656,56672,67,58880
157,-8864,67,-6400,56672,67,59136
158,-8864,67,-6912,56672,67,58624
159,-8864,67,-7168,56672,67,58368
160,-8864,67,-6144,56672,67,59392
161,-9109,0,-7168,56427,0,58368
162,-9109,0,-6912,56427,0,58624
163,-9109,0,-6656,56427,0,58880
164,-9109,0,-6400,56427,0,59136
165,-9769,0,-6400,55767,0,59136
166,-9769,0,-6144,55767,0,59392
167,-9769,0,-6656,55767,0,58880
168,-9769,0,-6912,55767,0,58624
169,-9769,0,-7168,55767,0,58368
170,-9109,0,-6144,56427,0,59392
171,-9660,0,-6400,55876,0,59136
172,-9660,0,-6144,55876,0,59392
173,-9660,0,-6656,55876,0,58880
174,-9660,0,-6912,55876,0,58624
175,-9660,0,-7168,55876,0,58368
176,-9549,0,-6400,55987,0,59136
177,-9549,0,-6144,55987,0,59392
178,-9549,0,-6656,55987,0,58880
179,-9549,0,-6912,55987,0,58624
180,-9549,0,-7168,55987,0,58368
181,-9220,0,-7168,56316,0,58368
182,-9220,0,-6912,56316,0,58624
183,-9440,0,-6400,56096,0,59136
184,-9440,0,-6144,56096,0,59392
185,-9440,0,-6656,56096,0,58880
186,-9440,0,-6912,56096,0,58624
187,-9440,0,-7168,56096,0,58368
188,-9220,0,-6656,56316,0,58880
189,-9220,0,-6400,56316,0,59136
190,-9220,0,-6144,56316,0,59392
191,-9329,0,-6400,56207,0,59136
192,-9329,0,-6144,56207,0,59392
193,-9329,0,-6656,56207,0,58880
194,-9329,0,-6912,56207,0,58624
195,-9329,0,-7168,56207,0,58368
196,-8722,35,-7139,56814,35,58397
197,-8646,35,-7093,56890,35,58443
198,-8629,5,-7108,56907,5,58428
199,-8678,5,-7139,56858,5,58397
200,-8339,34,-7164,57197,34,58372
201,-8339,34,-7113,57197,34,58423
202,-8415,34,-7093,57121,34,58443
203,-8415,34,-7185,57121,34,58351
204,-8339,4,-7129,57197,4,58407
205,-8415,4,-7108,57121,4,58428
206,-8646,35,-7185,56890,35,58351
207,-8629,5,-7170,56907,5,58366
208,-8415,4,-7170,57121,4,58366
209,-8339,4,-7149,57197,4,58387
210,-8357,373,-7139,57179,373,58397
211,-8696,374,-7139,56840,374,58397
212,-8697,35,-7139,56839,35,58397
213,-8358,34,-7139,57178,34,58397
214,-8720,88,-6531,56816,88,59005
215,-8567,87,-6440,56969,87,59096
216,-8541,10,-6454,56995,10,59082
217,-8644,11,-6531,56892,11,59005
218,-8311,86,-6607,57225,86,58929
219,-8567,87,-6621,56969,87,58915
220,-8541,10,-6608,56995,10,58928
221,-8312,9,-6595,57224,9,58941
222,-8311,85,-6454,57225,85,59082
223,-8425,86,-6454,57111,86,59082
224,-8425,86,-6607,57111,86,58929
225,-8312,9,-6467,57224,9,59069
226,-8568,126,-6531,56968,126,59005
227,-8517,125,-6467,57019,125,59069
228,-8568,87,-6454,56968,87,59082
229,-8619,88,-6531,56917,88,59005
230,-8568,87,-6607,56968,87,58929
231,-8438,125,-6595,57098,125,58941
232,-8517,126,-6595,57019,126,58941
233,-8438,125,-6467,57098,125,59069
234,-8438,125,-6531,57098,125,59005
235,-8736,3,-6656,56800,3,58880
236,-8736,3,-6400,56800,3,59136
237,-8736,3,-6144,56800,3,59392
238,-8736,3,-6912,56800,3,58624
239,-8736,3,-7168,56800,3,58368
240,-9852,483,-6272,55684,483,59264
241,-10044,483,-6272,55492,483,59264
242,-10044,387,-6272,55492,387,59264
243,-9852,387,-6272,55684,387,59264
244,-10044,35,-6277,55492,35,59259
245,-10044,35,-6266,55492,35,59270
246,-10044,483,-6266,55492,483,59270
247,-10044,483,-6277,55492,483,59259
248,-10054,35,-6272,55482,35,59264
249,-10054,483,-6272,55482,483,59264
